#[0]step() [1]time(s) [2]dL_dt(m^-2*s^-1) [3]chimin_beam_e() [4]chiave_beam_e() [5]chimax_beam_e() [6]x_ave_beam_e(m) [7]y_ave_beam_e(m) [8]x_std_beam_e(m) [9]y_std_beam_e(m) [10]thetax_ave_beam_e(rad) [11]thetay_ave_beam_e(rad) [12]thetax_std_beam_e(rad) [13]thetay_std_beam_e(rad) [14]thetax_min_beam_e(rad) [15]thetay_min_beam_e(rad) [16]thetax_max_beam_e(rad) [17]thetay_max_beam_e(rad) [18]chimin_beam_p() [19]chiave_beam_p() [20]chimax_beam_p() [21]x_ave_beam_p(m) [22]y_ave_beam_p(m) [23]x_std_beam_p(m) [24]y_std_beam_p(m) [25]thetax_ave_beam_p(rad) [26]thetay_ave_beam_p(rad) [27]thetax_std_beam_p(rad) [28]thetay_std_beam_p(rad) [29]thetax_min_beam_p(rad) [30]thetay_min_beam_p(rad) [31]thetax_max_beam_p(rad) [32]thetay_max_beam_p(rad)
20 1.00069228559446e-12 3.33221618898998e+38 5.01456106670220e-19 1.01775397478345e-09 6.30327496957667e-05 -1.61684006368904e-11 -8.25863673056078e-13 3.10441538806323e-07 7.69127650884092e-09 6.00680822348752e-03 5.84659978811323e-04 5.99702059517642e-01 3.14159229451791e+00 -3.14159265358979e+00 -3.14159265358979e+00 3.14159265358979e+00 3.14159265358979e+00 6.25320919412612e-19 1.01888262084038e-09 6.40547938928582e-05 2.28183378872256e-11 -5.45103025977122e-13 3.10442357982898e-07 7.69062874353623e-09 3.97031034392996e-17 3.12922937333232e-17 4.76768383958421e-12 1.22879332453703e-10 -4.26919542995293e-09 -7.96614417200037e-08 4.22185022398932e-09 8.02764121683244e-08
21 1.05072689987418e-12 5.70657696235427e+38 1.57315108747828e-18 1.79129332449531e-09 8.99366219710620e-05 -1.61684006378322e-11 -8.25863678210769e-13 3.10441511572699e-07 7.69127639533850e-09 5.96078872216934e-03 5.86878163191301e-04 6.05309321029518e-01 3.14159218103112e+00 -3.14159265358979e+00 -3.14159265358979e+00 3.14159265358979e+00 3.14159265358979e+00 5.25135985702293e-19 1.79365310378199e-09 9.05093362258162e-05 2.28183378882671e-11 -5.45103025660381e-13 3.10442323544795e-07 7.69062852609616e-09 6.77357278238371e-17 2.11169430819563e-17 7.57899481796649e-12 2.03940493804481e-10 -6.25268625910541e-09 -1.20698991325318e-07 6.08360942375135e-09 1.21215935062799e-07
22 1.10076151415390e-12 9.50728956525701e+38 9.94368601436784e-19 3.05271623447179e-09 1.29298340066819e-04 -1.61684006390620e-11 -8.25863686390030e-13 3.10441474766437e-07 7.69127600024910e-09 5.99829951600783e-03 5.67241738650956e-04 6.05219055329969e-01 3.14159203324290e+00 -3.14159265358979e+00 -3.14159265358979e+00 3.14159265358979e+00 3.14159265358979e+00 1.64844518756599e-18 3.05627468603845e-09 1.27444795919961e-04 2.28183378896299e-11 -5.45103023682803e-13 3.10442333090544e-07 7.69062867666467e-09 9.32243155975508e-17 1.31838435889545e-16 1.18079157627979e-11 3.25430373265356e-10 -9.28254127431604e-09 -1.78943884791330e-07 9.03512739079429e-09 1.79228005490549e-07
23 1.15079612843362e-12 1.54893614688761e+39 3.22093349047383e-19 5.06794966539167e-09 1.78093566147850e-04 -1.61684006417360e-11 -8.25863695444280e-13 3.10441496508996e-07 7.69127628554393e-09 5.90007770350256e-03 6.00633604664721e-04 6.11525216349288e-01 3.14159226942872e+00 -3.14159265358979e+00 -3.14159265358979e+00 3.14159265358979e+00 3.14159265358979e+00 1.03702143554353e-18 5.07068471805627e-09 1.81542111875439e-04 2.28183378924888e-11 -5.45103021503365e-13 3.10442334724364e-07 7.69062852882895e-09 1.88582119494536e-16 1.45295093317806e-16 1.80399391194312e-11 5.08429310457405e-10 -1.31644871889820e-08 -2.60485545968442e-07 1.30545952889182e-08 2.62542602189883e-07
24 1.20083074271335e-12 2.47484608659534e+39 1.96899642568560e-18 8.22768935177549e-09 2.48604927851611e-04 -1.61684006457906e-11 -8.25863702924456e-13 3.10441500501019e-07 7.69127609290374e-09 5.98784662380713e-03 5.82680920466457e-04 6.14546513091878e-01 3.14159231773237e+00 -3.14159265358979e+00 -3.14159265358979e+00 3.14159265358979e+00 3.14159265358979e+00 2.05818790770219e-18 8.23020461939538e-09 2.49245283151159e-04 2.28183378970883e-11 -5.45103021931923e-13 3.10442300301707e-07 7.69062832309679e-09 3.07083077853927e-16 -2.85702389434779e-17 2.71532448400993e-11 7.73807668024560e-10 -1.84390549048779e-08 -3.76761120160738e-07 1.86144922487849e-08 3.77684693600803e-07
25 1.25086535699307e-12 3.88823620628447e+39 1.18445896703112e-18 1.31033060690405e-08 3.41792791995525e-04 -1.61684006512475e-11 -8.25863704674684e-13 3.10441525643645e-07 7.69127613998177e-09 5.85434585573541e-03 5.67677146829287e-04 6.22160065764326e-01 3.14159237597999e+00 -3.14159265358979e+00 -3.14159265358979e+00 3.14159265358979e+00 3.14159265358979e+00 3.98263359204438e-19 1.31074474847329e-08 3.42186263779139e-04 2.28183379031172e-11 -5.45103033769374e-13 3.10442325244889e-07 7.69062836953787e-09 4.01726703965283e-16 -7.89163528161594e-16 4.04788356227543e-11 1.16208268313246e-09 -2.59383359238609e-08 -5.38801756111377e-07 2.58768092027669e-08 5.41043586712454e-07
26 1.30089997127279e-12 6.01781620508223e+39 1.17394217066784e-18 2.05170081889620e-08 4.61219447179389e-04 -1.61684006613752e-11 -8.25863684695752e-13 3.10441526551681e-07 7.69127569216583e-09 5.95044730133904e-03 5.81332677630831e-04 6.27186900270973e-01 3.14159233397518e+00 -3.14159265358979e+00 -3.14159265358979e+00 3.14159265358979e+00 3.14159265358979e+00 7.10160291148891e-19 2.05249001024838e-08 4.65600719942830e-04 2.28183379142183e-11 -5.45103071374469e-13 3.10442316447081e-07 7.69062775729394e-09 7.39741321818685e-16 -2.50700596265188e-15 5.96276568068435e-11 1.71202219050219e-09 -3.50894737052010e-08 -7.59532710215546e-07 3.54690996419287e-08 7.61687189836048e-07
27 1.35093458555252e-12 9.18637179997475e+39 9.30111568884678e-19 3.16416594554666e-08 6.30451929362761e-04 -1.61684006744422e-11 -8.25863621883795e-13 3.10441534569012e-07 7.69127515796947e-09 5.93356117564015e-03 5.68583276804175e-04 6.36290318028634e-01 3.14159214286866e+00 -3.14159265358979e+00 -3.14159265358979e+00 3.14159265358979e+00 3.14159265358979e+00 7.33042023464034e-19 3.16544225900755e-08 6.28770249883143e-04 2.28183379282782e-11 -5.45103161648991e-13 3.10442363787882e-07 7.69062699337847e-09 9.35798701169062e-16 -6.01830173066496e-15 8.69522726703351e-11 2.49793879642058e-09 -4.92747117538740e-08 -1.05957675494731e-06 4.97375881925038e-08 1.06606042774461e-06
28 1.40096919983224e-12 1.38520241625169e+40 5.76213923014380e-19 4.81359065507304e-08 8.27568383786602e-04 -1.61684006935610e-11 -8.25863530545532e-13 3.10441580780561e-07 7.69127420646338e-09 5.98114766501045e-03 5.94187280701983e-04 6.41535856471388e-01 3.14159230996664e+00 -3.14159265358979e+00 -3.14159265358979e+00 3.14159265358979e+00 3.14159265358979e+00 1.28530498162573e-18 4.81531030313018e-08 8.22679783203303e-04 2.28183379490013e-11 -5.45103292768481e-13 3.10442369765694e-07 7.69062633929737e-09 1.38174708506693e-15 -8.74129946287257e-15 1.25783019952757e-10 3.58831864990322e-09 -6.66399888655238e-08 -1.46072815878562e-06 6.76759004077499e-08 1.47158758109307e-06
29 1.45100381411196e-12 2.06501360211187e+40 8.76152289612205e-19 7.23247917972555e-08 1.10160146337247e-03 -1.61684007264663e-11 -8.25863408908155e-13 3.10441585759898e-07 7.69127316713778e-09 6.05264443545701e-03 5.62226865027973e-04 6.49277450360534e-01 3.14159231616998e+00 -3.14159265358979e+00 -3.14159265358979e+00 3.14159265358979e+00 3.14159265358979e+00 1.53642475619929e-18 7.23434285428581e-08 1.11729847052958e-03 2.28183379835001e-11 -5.45103502664804e-13 3.10442394124522e-07 7.69062502053289e-09 2.29908569034173e-15 -1.39930881595547e-14 1.79868244154600e-10 5.11380715456185e-09 -9.33216327862982e-08 -1.98811575368341e-06 9.39196576715746e-08 2.01184395250358e-06
